scenario_id,subject,difficulty,trial_mode,mode,condition,seed,success,completion_time_sec,total_inputs,interactions,motion_tool_calls,mode_switches,direction_reversals,dropped_inputs,selection_perturbations,direction_perturbations,target_filtered_out,terminated_at_max_ticks,end_reason
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,0,1,6.7368,15,3,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,1,1,8.54,22,3,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,2,1,8.54,22,3,1,1,6,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,3,1,6.7368,15,3,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,clean,4,1,6.7368,15,3,1,1,0,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,0,1,6.7368,15,3,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,1,1,8.54,22,3,1,1,2,0,0,0,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,2,1,8.54,22,3,1,1,6,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,3,1,6.7368,15,3,1,1,0,0,0,1,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_low,4,1,8.54,22,3,1,1,0,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,0,1,6.7368,15,3,1,1,0,0,0,2,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,1,1,8.54,22,3,1,1,2,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,2,1,17.556,57,3,1,1,6,0,0,12,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,3,1,6.7368,15,3,1,1,0,0,0,4,1,0,task_complete
manual_s1_easy_trial_20260218_141344,s1,easy,manual,prime,dir_high,4,1,12.1464,36,3,1,1,0,0,0,10,1,0,task_complete
