scenario_id,subject,difficulty,mode,target_obj_id,plausible_targets,object_summary,current_target_source,layout_override,notes
manual_s1_easy_trial_20260218_141344,s1,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_143151,s1,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_143429,s1,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_143630,s1,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_143810,s1,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_143936,s1,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_144100,s1,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_144238,s1,easy,manual,obj_3,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_144350,s1,easy,manual,obj_1,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_easy_trial_20260218_144539,s1,easy,manual,obj_2,obj_1|obj_2|obj_3,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
manual_s1_hard_trial_20260220_122421,s1,hard,manual,obj_2,obj_1|obj_2|obj_3|obj_4|obj_5,obj_1=coffee_can@A1(E)|obj_2=mug@A2(E)|obj_3=cleanser@A3(E)|obj_4=rubik@B2(E)|obj_5=gelatin_box@B3(E),unlabeled,,"AI-sampled placeholder, pending video verification"
